pmid,Drug Name,Cell Line,Assay
39469631,[],"['CI', 'T47D']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '24 h'}}]"
39470470,['Cisplatin'],[],[]
39471014,[],[],[]
39472530,[],"['ACN', 'SEM']",[]
39472679,[],[],"[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '24 h', 'Drug treatment duration (hour/day)': '24 h'}}]"
39472694,[],['CI'],[]
39472818,[],[],[]
39473207,[],[],[]
39473208,[],[],[]
39474123,[],[],"[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '24 hours', 'Drug treatment duration (hour/day)': '24 hours'}}]"
39474419,['Cisplatin'],"['SW480', 'RC', 'ABC1']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': 'incubated for 15 min'}}]"
39474581,[],[],[]
39474658,[],[],"[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '48 h'}}]"
39475013,['Cisplatin'],"['NY', 'SAS']",[]
39475157,[],"['ACN', 'CI']",[]
39475502,[],['T47D'],[]
39475614,[],['SEM'],[]
39475623,[],"['U87MG', 'A549']",[]
39477308,[],[],[]
39477324,[],[],[]
39478150,[],"['HCC1806', 'HCC1599', 'SEM']","[{'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '72 h', 'Drug Concentration (mol/L)': '1 μM', 'Drug treatment duration (hour)': '72 h'}}, {'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '18 h'}}, {'assay': 'BrdU', 'params': {'Incubation Time (hour)': '2 h', 'Drug Concentration (mol/L)': '10 μM', 'Drug treatment duration (hour)': '2 h'}}]"
39478577,[],"['MCF7', 'T47D', 'SUM44PE']",[]
39480521,['Cisplatin'],"['CAL27', 'MJ', 'RL']",[]
39482441,[],['DL'],"[{'assay': 'apoptotic assay', 'params': {'Cell Density (cells/well)': '231 cells'}}]"
39482666,[],"['JR', 'DL', 'T47D']",[]
39483131,['Cisplatin'],"['HCT116', 'MCF7', 'SBC3']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '4 h'}}, {'assay': 'CCK-8', 'params': {'Drug Concentration (mol/L)': '2 mM'}}]"
39483473,[],"['NY', 'SAS', 'MCF10A']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '2 h', 'Drug treatment duration (hour/day)': '2 h'}}]"
39484064,[],[],[]
39484725,[],"['MCF7', 'MCF10A', 'HEYA8']",[]
39484816,[],"['A549', 'VAL']",[]
39485242,[],"['T47D', 'SAS']",[]
39487929,[],"['BT474', 'JR', 'LS']","[{'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '10 h', 'Drug treatment duration (hour)': '10 h'}}]"
39492759,[],"['SW480', 'A549', 'SKOV3']",[]
39493351,[],"['BT474', 'SKBR3', 'A431']",[]
39493360,['Cisplatin'],"['CI', 'HCT116', 'PC3']",[]
39494337,['Cisplatin'],"['HT', 'DL']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '72 h', 'Drug treatment duration (hour/day)': '72 h'}}]"
39497135,[],"['MCF7', 'SEM', 'DL']","[{'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '1 h', 'Drug treatment duration (hour)': '1 h', 'Drug Concentration (mol/L)': '9.65 mM'}}]"
39497152,[],"['HT1080', 'U2OS', 'HT29']",[]
39499082,[],"['MCF7', 'CI', 'K5']",[]
39499621,[],"['ACN', 'KD', 'MCF10A']",[]
39500869,[],"['T47D', 'MCF7', 'BT20']",[]
39501057,['Cisplatin'],"['BT549', 'MCF10A', 'NY']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': 'incubated for 2 h', 'Drug treatment duration (hour/day)': '2 h'}}]"
39501960,[],[],[]
39503902,['Cisplatin'],"['CI', 'SEM', 'NY']","[{'assay': 'Cell cycle', 'params': {'Cell Density (cells/well)': '1.5 × 10⁶  cells/well', 'Incubation Time (hour)': 'incubated for 24 h', 'Drug Concentration (mol/L)': '0.625 μM', 'Drug treatment duration (hour)': '48 h'}}, {'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '48 h'}}]"
39504304,['Cisplatin'],"['SEM', 'HT', 'A431']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '24 h'}}, {'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '5 min', 'Drug treatment duration (hour)': '5 min', 'Drug Concentration (mol/L)': 'concentration of 2.73'}}]"
39504328,[],"['HCT116', 'A549', 'SEM']",[]
39504368,[],['SEM'],"[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '15 min'}}]"
39504377,[],"['MCF7', 'CI']","[{'assay': 'Cell cycle', 'params': {'Drug Concentration (mol/L)': '0.5 mM'}}]"
39505903,[],[],[]
39506058,['Cisplatin'],['SEM'],"[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '72 h'}}]"
39506777,[],[],"[{'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '6 h', 'Drug treatment duration (hour)': '6 h'}}, {'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '6 h'}}]"
39506780,['Cisplatin'],"['JR', 'LS', 'NY']",[]
39506852,[],"['HCC1937', 'SUM159PT', 'MCF10A']",[]
39512500,[],"['LS', 'RL']",[]
39513002,['Cisplatin'],"['BT474', 'HCC202', 'HCC1569']",[]
39513908,[],"['HAP1', 'SKBR3']",[]
39514971,[],[],[]
39516537,['Cisplatin'],[],"[{'assay': 'CCK-8', 'params': {'Drug Concentration (mol/L)': '2 μM', 'Incubation Time (hour)': 'incubated for 2 h', 'Drug treatment duration (hour/day)': '24 h'}}, {'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '24 h'}}]"
39516823,[],"['SEM', 'SKOV3', 'A2780']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '48 h'}}]"
39518071,[],['MCF7'],"[{'assay': 'CCK-8', 'params': {'Culture duration (Days/Weeks)': '7 days', 'Drug treatment duration (hour/day)': '7 days'}}]"
39518148,[],['NY'],[]
39518898,['Cisplatin'],"['SEM', 'NY']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '24 h'}}]"
39518934,[],"['MCF7', 'SEM']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '48 h', 'Cell Density (cells/well)': '3 × 10⁴  cells per well'}}, {'assay': 'BrdU', 'params': {'Drug Concentration (mol/L)': '10μM', 'Incubation Time (hour)': '48 h', 'Drug treatment duration (hour)': '48 h'}}]"
39519023,[],['SEM'],"[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '72 h', 'Drug treatment duration (hour/day)': '72 h'}}]"
39519118,[],"['HT1080', 'HT', 'NY']",[]
39519124,[],['CI'],[]
39519260,[],"['T47D', 'MCF7', 'PC3']",[]
39519266,['Cisplatin'],"['DU145', 'HCC1806', 'A549']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '2 h', 'Drug treatment duration (hour/day)': '2 h'}}, {'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '48 h'}}]"
39520723,[],[],[]
39521748,[],"['MCF7', 'RPMI8226']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': 'incubated for 24 h'}}, {'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': 'incubated for 24 h', 'Drug treatment duration (hour)': '24 h'}}]"
39521829,[],['PC3'],"[{'assay': 'apoptotic assay', 'params': {'Cell Density (cells/well)': '000 cells', 'Incubation Time (hour)': '5 min'}}, {'assay': 'Cell cycle', 'params': {'Cell Density (cells/well)': '000 cells', 'Incubation Time (hour)': '5 min', 'Drug treatment duration (hour)': '5 min'}}]"
39523372,[],"['HCC1806', 'SEM', 'T47D']","[{'assay': 'CCK-8', 'params': {'Culture duration (Days/Weeks)': '3 days', 'Drug treatment duration (hour/day)': '60 h', 'Incubation Time (hour)': '30 min', 'Drug Concentration (mol/L)': '4.5 μM'}}]"
39523548,[],"['K2', 'CI', '921']",[]
39525004,[],"['NY', 'SEM', 'LS']",[]
39527598,[],"['SEM', 'HF', 'MS1']","[{'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '4H', 'Drug treatment duration (hour)': '4H'}}]"
39529543,['Cisplatin'],"['BT20', 'HK2', 'LS']","[{'assay': 'CCK-8', 'params': {'Cell Density (cells/well)': '468 cells', 'Incubation Time (hour)': '72 h', 'Drug treatment duration (hour/day)': '72 h'}}, {'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '5H'}}]"
39529627,[],"['TT', 'HT', 'HF']",[]
39530008,['Cisplatin'],"['SKBR3', 'TK', 'RL']",[]
39530107,[],['RD'],[]
39530732,[],[],[]
39531174,['Cisplatin'],"['HCC1937', 'DL', 'EN']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '30 min'}}]"
39531517,['Cisplatin'],"['MCF7', 'BT549', 'MCF10A']",[]
39532433,[],"['HCC1937', 'MCF10A', 'TT']",[]
39532855,[],"['HCC1806', 'HF', 'RD']",[]
39533434,[],"['SEM', 'K562', 'KKU213']",[]
39537766,[],['A549'],[]
39538154,[],"['MCF7', 'RC', 'MJ']",[]
39539163,[],"['SEM', 'HT', 'T47D']",[]
39539450,[],[],[]
39539969,['Cisplatin'],['RC'],[]
39540317,[],"['SEM', 'MCF7']",[]
39541354,[],"['SEM', 'CI', 'BT549']",[]
39542653,[],"['KD', 'BT474', 'SKBR3']",[]
39543094,['Cisplatin'],"['MJ', 'A549', 'HH']",[]
39543257,['Cisplatin'],"['HF', 'H4']",[]
39543704,[],"['SEM', 'ACN', 'TK']",[]
39544488,[],[],[]
39548116,['Cisplatin'],"['HCC1937', 'MCF7', '184B5']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '72 h'}}, {'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '72 h', 'Drug treatment duration (hour)': '72 h'}}]"
39549046,[],"['A375', 'ASPC1', 'BXPC3']",[]
39550407,['Cisplatin'],"['MJ', 'RC']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '72 h', 'Drug treatment duration (hour/day)': '72 h'}}]"
39550554,[],"['SEM', 'RL', 'TT']",[]
39553459,[],['MCF7'],"[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '5 h'}}]"
39554592,[],[],[]
39555060,[],"['MCF7', 'YT', 'H4']","[{'assay': 'CCK-8', 'params': {'Drug Concentration (mol/L)': 'concentration of 1', 'Incubation Time (hour)': '2 hours', 'Drug treatment duration (hour/day)': '2 hours'}}, {'assay': 'apoptotic assay', 'params': {'Cell Density (cells/well)': '5 cells per well'}}]"
39555361,['Cisplatin'],['HF'],[]
39556159,[],"['HCC1937', 'TK']","[{'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '30 min', 'Drug treatment duration (hour)': '30 min'}}, {'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '3 h', 'Drug treatment duration (hour/day)': '3 h'}}]"
39556719,['Cisplatin'],"['SEM', 'MCF10A', 'SAS']",[]
39557682,[],"['SKBR3', 'HT29']",[]
39557820,[],"['MCF7', 'MCF10A', 'OE19']",[]
39557898,['Cisplatin'],"['CI', 'T47D', 'GCT']","[{'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '48 h', 'Drug treatment duration (hour)': '48 h'}}]"
39558000,[],"['BT549', '184B5', 'HCC1937']","[{'assay': 'apoptotic assay', 'params': {'Cell Density (cells/well)': '2 × 10⁵  cells per well'}}]"
39558215,[],"['MCF7', 'T47D', 'DL']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': 'incubated for 1 h', 'Drug treatment duration (hour/day)': '1 h'}}]"
39558342,['Cisplatin'],"['HCC1937', 'MCF7']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '20 min'}}]"
39558346,[],[],[]
39559821,['Cisplatin'],"['JR', 'RC']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '4 h', 'Drug treatment duration (hour/day)': '4 h'}}]"
39560680,[],[],[]
39560990,[],"['SEM', 'A549', 'K562']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '72 h'}}, {'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '72 h', 'Drug treatment duration (hour/day)': '72 h'}}]"
39563418,[],"['CI', 'U2OS']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '1.5 h', 'Drug treatment duration (hour/day)': '1.5 h'}}, {'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '48 h', 'Drug treatment duration (hour)': '48 h'}}, {'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '30 min'}}]"
39565448,[],['SEM'],[]
39567558,[],['SEM'],[]
39567714,[],"['BT549', 'MCF7']",[]
39567942,[],['A549'],[]
39569682,[],"['MCF10A', 'MCF7', 'LS']",[]
39572705,[],"['U937', 'MCF7', 'T47D']",[]
39574120,['Cisplatin'],"['T47D', 'BT474', 'SUM159PT']","[{'assay': 'CCK-8', 'params': {'Cell Density (cells/well)': '1000 cells per well', 'Incubation Time (hour)': '2 h', 'Drug treatment duration (hour/day)': '2 h'}}]"
39574707,[],[],[]
39576770,[],"['MCF7', 'HCC1143', 'RL']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '24 hours'}}, {'assay': 'Cell cycle', 'params': {'Drug Concentration (mol/L)': '2mM'}}]"
39576967,['Cisplatin'],"['SEM', 'SAS']",[]
39582014,[],"['MCF10A', 'JR', 'LS']",[]
39587128,['Cisplatin'],[],"[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '48 h'}}]"
39587886,[],"['T47D', 'MJ', 'TT']",[]
39589549,[],"['SKBR3', 'BT474', 'HCC1806']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '20 min', 'Cell Density (cells/well)': '6 cells per well'}}, {'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': 'two hours', 'Drug treatment duration (hour)': 'two hours', 'Reagent/kit/staining solution Manufacturer and Catalog Number': 'staining solution'}}]"
39589605,[],"['LS', 'MCF7', 'SEM']","[{'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '24 h', 'Drug treatment duration (hour)': '24 h'}}]"
39590296,[],"['NY', 'HK2', 'CI']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '24 h'}}]"
39590334,[],"['MCF10A', 'MCF7', 'HCC1937']",[]
39592591,[],"['CI', 'HEL', 'SET2']",[]
39592736,[],[],[]
39593108,[],"['T47D', 'MCF7', 'PC3']",[]
39593161,[],"['SEM', 'MX1', 'BT549']",[]
39594441,[],"['HS578T', 'T47D', 'KD']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '24 h'}}]"
39594666,[],"['HCC1806', 'HCC1937']",[]
39594707,[],"['BT474', 'SKBR3', 'CI']",[]
39594764,['Cisplatin'],['LS'],"[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '48h'}}, {'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '48h', 'Drug treatment duration (hour)': '48h'}}]"
39594999,[],"['NY', 'T47D', 'MCF7']",[]
39595615,[],['NY'],"[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '24 h'}}]"
39595631,['Cisplatin'],"['MCF10A', 'LS', 'HT']","[{'assay': 'CCK-8', 'params': {'Cell Density (cells/well)': '1 × 10⁴  cells/well'}}, {'assay': 'Cell cycle', 'params': {'Cell Density (cells/well)': '231 cells per well', 'Incubation Time (hour)': '24 h', 'Drug treatment duration (hour)': '24 h'}}]"
39596057,[],['SKBR3'],"[{'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '48 h', 'Drug treatment duration (hour)': '48 h'}}]"
39596169,[],"['HCC1954', 'SKBR3', 'CI']",[]
39596465,[],"['T47D', 'TK', 'NY']",[]
39596658,['Cisplatin'],[],[]
39596804,[],['MCF7'],[]
39598379,['Cisplatin'],"['RBE', 'T47D', 'MCF7']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '48 h'}}, {'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '48 h', 'Drug treatment duration (hour)': '48 h'}}]"
39598560,['Cisplatin'],"['A2780', 'MCF7', 'HCT116']","[{'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '72 h', 'Drug treatment duration (hour)': '72 h'}}]"
39598664,['Cisplatin'],"['MCF7', 'MCF10A', 'MDAMB231']",[]
39598693,[],['A2780'],[]
39598716,['Cisplatin'],['A549'],"[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': 'incubated for 30 min'}}]"
39600410,[],"['VAL', 'MCF10A', 'F5']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': 'incubated for 30 min'}}]"
39605038,[],"['MFM223', 'BT20', 'DU4475']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '10 min', 'Drug treatment duration (hour/day)': '10 min'}}]"
39605453,[],[],[]
39605479,[],[],[]
39609299,['Cisplatin'],"['SEM', 'HF', 'HCT15']",[]
39609706,[],"['SEM', 'HK2', 'SKBR3']",[]
39609783,[],"['CI', 'SKBR3', 'HT']",[]
39611037,[],"['SEM', 'NY', 'SKBR3']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '24 hours'}}, {'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '4 hours', 'Drug treatment duration (hour)': '4 hours'}}]"
39611484,[],[],[]
39611918,[],[],[]
39611921,[],[],[]
39612279,[],[],[]
39613781,[],[],[]
39614277,['Cisplatin'],['A549'],[]
39614338,[],"['SKBR3', 'CI', 'T47D']",[]
39614393,[],"['HCC1806', 'HCC1937', 'SEM']","[{'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '48 h', 'Drug treatment duration (hour)': '48 h'}}, {'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '48 h'}}]"
39617792,[],"['MCF7', 'BT549', 'T47D']",[]
39619057,[],"['MJ', 'A549', 'NY']","[{'assay': 'Cell cycle', 'params': {'Cell Density (cells/well)': '468 cells', 'Incubation Time (hour)': '72 h', 'Drug treatment duration (hour)': '72 h'}}, {'assay': 'apoptotic assay', 'params': {'Cell Density (cells/well)': '0.4×10⁵  cells/well'}}]"
39619199,[],"['SEM', 'K562', 'LS']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': 'incubated for 15 min'}}]"
39619421,[],"['COV362', 'OVCAR5', 'RL']","[{'assay': 'CCK-8', 'params': {'Cell Density (cells/well)': '000 cells/well', 'Incubation Time (hour)': '48 h', 'Drug treatment duration (hour/day)': '48 h'}}, {'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '12 h'}}, {'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '48 h', 'Drug treatment duration (hour)': '48 h'}}]"
39619437,[],"['RC', 'KD', 'MCF7']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '24 hours', 'Drug treatment duration (hour/day)': '24 hours'}}]"
39620056,['Cisplatin'],"['MJ', 'RC', 'JR']",[]
39623404,[],['HT'],[]
39625392,[],[],[]
39627188,[],"['KD', 'BT474', 'A549']",[]
39627198,[],"['HCT116', 'SW480', 'HCT15']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '72 h', 'Drug treatment duration (hour/day)': '72 h'}}]"
39627279,['Cisplatin'],[],[]
39627767,[],"['HCC1806', 'SUM1315MO2', 'T47D']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '10 min'}}]"
39627778,[],"['PC3', 'DU145', 'MCF7']",[]
39629122,[],"['MCF7', 'JR', 'HF']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '48 h', 'Drug treatment duration (hour/day)': '48 h'}}, {'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '5 min'}}]"
39629131,[],"['MJ', 'RC', 'HH']",[]
39630192,[],"['PC3', 'T47D', 'LS180']","[{'assay': 'apoptotic assay', 'params': {'Incubation Time (hour)': '30 min'}}]"
39630699,[],[],[]
39630893,[],"['BT474', 'ACN', 'SEM']",[]
39632807,[],"['AU565', 'HT', 'ACN']",[]
39633082,[],"['SKOV3', 'MCF7', 'CAOV3']","[{'assay': 'Cell cycle', 'params': {'Incubation Time (hour)': '24h', 'Drug treatment duration (hour)': '24h', 'Drug Concentration (mol/L)': '5 μM'}}]"
39633214,['Cisplatin'],"['CI', 'SEM', 'DB']",[]
39633486,[],"['IGROV1', 'NY', 'OAW42']","[{'assay': 'CCK-8', 'params': {'Culture duration (Days/Weeks)': '14 days', 'Drug Concentration (mol/L)': 'concentration of 300', 'Drug treatment duration (hour/day)': '14 days', 'Cell Density (cells/well)': '3 cells per well', 'Incubation Time (hour)': '96 h'}}]"
39636855,[],"['H4', 'HK2', 'KD']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '24 h', 'Drug treatment duration (hour/day)': '24 h'}}]"
39639119,[],"['697', 'MCF10A']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '2 H', 'Drug treatment duration (hour/day)': '2 H'}}]"
39639654,[],[],[]
39641870,[],"['MCF7', 'SEM', 'RD']","[{'assay': 'CCK-8', 'params': {'Incubation Time (hour)': '2 h', 'Drug treatment duration (hour/day)': '2 h'}}]"
