"LongTable-checkbox","lineage1","lineage2","lineage3","depmapId","displayName"
"false","Normal","Non-Cancerous","Matched Normal","ACH-002373","HCC1187BL"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenosquamous Carcinoma","ACH-000868","HCC1195"
"false","Lung","Non-Small Cell Lung Cancer","Giant Cell Carcinoma of the Lung","ACH-000901","HCC1359"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000699","HCC1395"
"false","Normal","Non-Cancerous","Matched Normal","ACH-002382","HCC1395BL"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000277","HCC1419"
"false","Breast","Invasive Breast Carcinoma","Invasive Breast Carcinoma","ACH-000352","HCC1428"
"false","Lung","Non-Small Cell Lung Cancer","Large Cell Lung Carcinoma","ACH-000891","HCC1438"
"false","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","ACH-000878","HCC15"
"false","Breast","Breast Ductal Carcinoma In Situ","Breast Ductal Carcinoma In Situ","ACH-000349","HCC1500"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000930","HCC1569"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000196","HCC1599"
"false","Normal","Non-Cancerous","Matched Normal","ACH-002374","HCC1599BL"
"false","Breast","Breast Ductal Carcinoma In Situ","Breast Ductal Carcinoma In Situ","ACH-000624","HCC1806"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000712","HCC1833"
"false","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","ACH-001079","HCC1897"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000223","HCC1937"
"false","Normal","Non-Cancerous","Matched Normal","ACH-002375","HCC1937BL"
"false","Breast","Breast Ductal Carcinoma In Situ","Breast Ductal Carcinoma In Situ","ACH-000859","HCC1954"
"false","Normal","Non-Cancerous","Matched Normal","ACH-002384","HCC1954BL"
"false","Breast","Breast Ductal Carcinoma In Situ","Breast Ductal Carcinoma In Situ","ACH-000725","HCC202"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000314","HCC2108"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000691","HCC2157"
"false","Normal","Non-Cancerous","Matched Normal","ACH-002381","HCC2157BL"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Lobular Carcinoma","ACH-002322","HCC2185"
"false","Breast","Breast Ductal Carcinoma In Situ","Breast Ductal Carcinoma In Situ","ACH-000755","HCC2218"
"false","Normal","Non-Cancerous","Matched Normal","ACH-002383","HCC2218BL"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenosquamous Carcinoma","ACH-000731","HCC2279"
"false","Lung","Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer","ACH-000143","HCC2429"
"false","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","ACH-000975","HCC2450"
"false","Breast","Breast Ductal Carcinoma In Situ","Breast Ductal Carcinoma In Situ","ACH-002323","HCC2688"
"false","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","ACH-000690","HCC2814"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000150","HCC2935"
"false","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-001081","HCC2998"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-002324","HCC3153"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000515","HCC33"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000575","HCC364"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenosquamous Carcinoma","ACH-000840","HCC366"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000276","HCC38"
"false","Normal","Non-Cancerous","Matched Normal","ACH-002377","HCC38BL"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000066","HCC4006"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000667","HCC44"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000339","HCC461"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000872","HCC515"
"false","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000467","HCC56"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000668","HCC70"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000562","HCC78"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000012","HCC827"
"false","Lung","Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer","ACH-002333","HCC827GR"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000029","HCC827GR5"
"false","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","ACH-000454","HCC95"
"false","Esophagus/Stomach","Esophageal Squamous Cell Carcinoma","Esophageal Squamous Cell Carcinoma","ACH-002243","HCE4"
"false","Eye","Non-Cancerous","Immortalized Epithelial Cells, Corneal, Differentiated","ACH-002336","HCET"
"false","Cervix","Cervical Squamous Cell Carcinoma","Cervical Squamous Cell Carcinoma","ACH-001515","HCS2"
"false","Cervix","Cervical Adenocarcinoma","Endocervical Adenocarcinoma","ACH-001516","HCSC1"
"false","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000971","HCT116"
"false","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000997","HCT15"
"false","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-001084","HCT8"
"false","Lymphoid","Hodgkin Lymphoma","Hodgkin Lymphoma","ACH-000267","HDLM2"
"false","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","ACH-000190","HDMYZ"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000643","HDQP1"
"false","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-001517","HEC1"
"false","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000990","HEC108"
"false","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-001518","HEC116"
"false","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000972","HEC151"
"false","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000954","HEC1A"
"false","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000941","HEC1B"
"false","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000996","HEC251"
"false","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000946","HEC265"
"false","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000831","HEC50B"
"false","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000994","HEC59"
"false","Uterus","Endometrial Carcinoma","Uterine Adenosquamous Carcinoma","ACH-000984","HEC6"
"false","Kidney","Non-Cancerous","Immortalized Embyonic Kidney Cells","ACH-000049","HEKTE"
"false","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","ACH-000004","HEL"
"false","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","ACH-000005","HEL9217"
"false","Cervix","Cervical Adenocarcinoma","Endocervical Adenocarcinoma","ACH-001086","HELA"
"false","Bone","Chondrosarcoma","Extraskeletal Myxoid Chondrosarcoma","ACH-001519","HEMCSS"
"false","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","ACH-000625","HEP3B217"
"false","Liver","Hepatoblastoma","Hepatoblastoma","ACH-000739","HEPG2"
"false","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","ACH-002140","HEY"
"false","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","ACH-000542","HEYA8"
"false","Lymphoid","Mature B-Cell Neoplasms","Germinal Center B-Cell Type","ACH-003108","HF"
"false","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","ACH-001520","HG3"
"false","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Stomach Adenocarcinoma","ACH-000847","HGC27"
"false","Lymphoid","Non-Hodgkin Lymphoma","Mature T and NK Neoplasms","ACH-000061","HH"
"false","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-002026","HHUA"
"false","Kidney","Non-Cancerous","Immortalized Embyonic Kidney Cells","ACH-001087","HK2"
"false","Skin","Cutaneous Squamous Cell Carcinoma","Cutaneous Squamous Cell Carcinoma","ACH-001521","HKA1"
"false","CNS/Brain","Meningothelial Tumor","Meningioma","ACH-002070","HKBMM"
"false","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001852","HKGZCC"
"false","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","ACH-000002","HL60"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-001088","HLC1"
"false","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","ACH-001089","HLE"
"false","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","ACH-000393","HLF"
"false","Fibroblast","Non-Cancerous","Fibroblast, Lung","ACH-000797","HLFA"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000721","HMC18"
"false","Skin","Melanoma","Melanoma","ACH-000931","HMCB"
"false","Breast","Non-Cancerous","Immortalized Breast Cells","ACH-000642","HMEL"
"false","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","ACH-002033","HMMME"
"false","Vulva/Vagina","Mucosal Melanoma of the Vulva/Vagina","Mucosal Melanoma of the Vulva/Vagina","ACH-002040","HMVII"
"false","Skin","Melanoma","Melanoma","ACH-001522","HMY1"
"false","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-001090","HN"
"false","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","ACH-000299","HNT34"
"false","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-002244","HO1N1"
"false","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-002045","HO1U1"
"false","Cervix","Glassy Cell Carcinoma of the Cervix","Glassy Cell Carcinoma of the Cervix","ACH-002019","HOKUG"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000861","HOP62"
"false","Lung","Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer","ACH-000825","HOP92"
"false","Bone","Osteosarcoma","Osteosarcoma","ACH-000613","HOS"
"false","Thyroid","Anaplastic Thyroid Cancer","Anaplastic Thyroid Cancer","ACH-002041","HOTHC"
"false","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-002027","HOUAI"
"false","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-000270","HPAC"
"false","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-000094","HPAFII"
"false","Lymphoid","T-Lymphoblastic Leukemia/Lymphoma","T-Lymphoblastic Leukemia/Lymphoma","ACH-000942","HPBALL"
"false","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-001091","HRT18"
"false","Fibroblast","Non-Cancerous","Fibroblast, Urinary Tract","ACH-000088","HS172T"
"false","Fibroblast","Non-Cancerous","Fibroblast, Lung","ACH-000131","HS229T"
"false","Fibroblast","Non-Cancerous","Fibroblast, Colorectal","ACH-000199","HS255T"
"false","Fibroblast","Non-Cancerous","Fibroblast, Breast","ACH-000134","HS274T"
"false","Fibroblast","Non-Cancerous","Fibroblast, Breast","ACH-000083","HS281T"
"false","Skin","Melanoma","Melanoma","ACH-000014","HS294T"
"false","Fibroblast","Non-Cancerous","Fibroblast, Breast","ACH-000184","HS343T"
"false","Lymphoid","Hodgkin Lymphoma","Hodgkin Lymphoma","ACH-002245","HS445"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Carcinoma, NOS","ACH-000148","HS578T"
"false","Fibroblast","Non-Cancerous","Fibroblast, Skin","ACH-000240","HS600T"
"false","Fibroblast","Non-Cancerous","Fibroblast","ACH-001093","HS604T"
"false","Fibroblast","Non-Cancerous","Fibroblast, Breast","ACH-000540","HS606T"
"false","Lymphoid","Hodgkin Lymphoma","Hodgkin Lymphoma","ACH-000069","HS611T"
"false","Fibroblast","Non-Cancerous","Fibroblast","ACH-000063","HS616T"
"false","Fibroblast","Non-Cancerous","Fibroblast, Lung","ACH-000539","HS618T"
"false","Soft Tissue","Fibrosarcoma","Fibrosarcoma","ACH-002246","HS633T"
"false","Fibroblast","Non-Cancerous","Fibroblast, Colorectal","ACH-000214","HS675T"
"false","CNS/Brain","Diffuse Glioma","Oligodendroglioma","ACH-000067","HS683"
"false","Fibroblast","Non-Cancerous","Fibroblast, Skin","ACH-000306","HS688AT"
"false","Skin","Melanoma","Melanoma","ACH-000799","HS695T"
"false","Fibroblast","Non-Cancerous","Fibroblast, Colorectal","ACH-000850","HS698T"
"false","Fibroblast","Non-Cancerous","Fibroblast, Bone","ACH-000071","HS706T"
"false","Fibroblast","Non-Cancerous","Fibroblast","ACH-000133","HS729"
"false","Fibroblast","Non-Cancerous","Fibroblast, Bone","ACH-000185","HS737T"
"false","Fibroblast","Non-Cancerous","Fibroblast, Breast","ACH-000413","HS739T"
"false","Fibroblast","Non-Cancerous","Fibroblast, Breast","ACH-000230","HS742T"
"false","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Stomach Adenocarcinoma","ACH-000616","HS746T"
"false","Fibroblast","Non-Cancerous","Fibroblast","ACH-000165","HS751T"
"false","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-000178","HS766T"
"false","Fibroblast","Non-Cancerous","Fibroblast, Bone","ACH-000224","HS819T"
"false","Fibroblast","Non-Cancerous","Fibroblast, Bone","ACH-000526","HS821T"
"false","Fibroblast","Non-Cancerous","Fibroblast, Bone","ACH-000229","HS822T"
"false","Fibroblast","Non-Cancerous","Fibroblast, Skin","ACH-000275","HS834T"
"false","Fibroblast","Non-Cancerous","Fibroblast, Skin","ACH-000180","HS839T"
"false","Fibroblast","Non-Cancerous","Fibroblast, Upper Aerodigestive","ACH-000284","HS840T"
"false","Skin","Melanoma","Melanoma","ACH-000274","HS852T"
"false","Soft Tissue","Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma","Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma","ACH-003111","HS856T"
"false","Bone","Osteosarcoma","Osteosarcoma","ACH-001712","HS860T"
"false","Fibroblast","Non-Cancerous","Fibroblast, Bone","ACH-000119","HS863T"
"false","Fibroblast","Non-Cancerous","Fibroblast, Bone","ACH-000340","HS870T"
"false","Fibroblast","Non-Cancerous","Fibroblast, Bone","ACH-000154","HS888T"
"false","Fibroblast","Non-Cancerous","Fibroblast, Skin","ACH-000043","HS895T"
"false","Fibroblast","Non-Cancerous","Fibroblast, Skin","ACH-000194","HS934T"
"false","Skin","Melanoma","Melanoma","ACH-000801","HS936T"
"false","Skin","Melanoma","Melanoma","ACH-000814","HS939T"
"false","Fibroblast","Non-Cancerous","Fibroblast, Skin","ACH-000135","HS940T"
"false","Skin","Melanoma","Cutaneous Melanoma","ACH-000632","HS944T"
"false","Skin","Cutaneous Squamous Cell Carcinoma","Cutaneous Squamous Cell Carcinoma","ACH-001523","HSC1"
"false","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-000472","HSC2"
"false","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-000778","HSC3"
"false","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Signet Ring Cell Carcinoma of the Stomach","ACH-002141","HSC39"
"false","Head and Neck","Head and Neck Squamous Cell Carcinoma","Oral Cavity Squamous Cell Carcinoma","ACH-000546","HSC4"
"false","Skin","Cutaneous Squamous Cell Carcinoma","Cutaneous Squamous Cell Carcinoma","ACH-001524","HSC5"
"false","CNS/Brain","Diffuse Glioma","Diffuse Intrinsic Pontine Glioma","ACH-002348","HSJDDIPG007"
"false","Ovary/Fallopian Tube","Ovarian Cancer, Other","Ovarian Cancer, Other","ACH-002038","HSKTC"
"false","Bone","Osteosarcoma","Osteosarcoma","ACH-002069","HSOS1"
"false","Peripheral Nervous System","Nerve Sheath Tumor","Malignant Peripheral Nerve Sheath Tumor","ACH-002065","HSPSS"
"false","Head and Neck","Head and Neck Squamous Cell Carcinoma","Sinonasal Squamous Cell Carcinoma","ACH-002044","HSQ89"
"false","Peripheral Nervous System","Nerve Sheath Tumor","Malignant Peripheral Nerve Sheath Tumor","ACH-002066","HSSCH2"
"false","Soft Tissue","Synovial Sarcoma","Synovial Sarcoma","ACH-002085","HSSYII"
"false","Lymphoid","Mature B-Cell Neoplasms","Diffuse Large B-Cell Lymphoma, NOS","ACH-000914","HT"
"false","Soft Tissue","Fibrosarcoma","Fibrosarcoma","ACH-000054","HT1080"
"false","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000986","HT115"
"false","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","ACH-000547","HT1197"
"false","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","ACH-000724","HT1376"
"false","Skin","Melanoma","Melanoma","ACH-000322","HT144"
"false","Skin","Melanoma","Melanoma","ACH-002458","HT144SKINFV1"
"false","Skin","Melanoma","Melanoma","ACH-002460","HT144SKINFV2"
"false","Skin","Melanoma","Melanoma","ACH-002459","HT144SKINFV3"
"false","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000552","HT29"
"false","Cervix","Cervical Adenocarcinoma","Cervical Adenocarcinoma","ACH-001525","HT3"
"false","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000926","HT55"
"false","Thyroid","Anaplastic Thyroid Cancer","Anaplastic Thyroid Cancer","ACH-001350","HTCC3"
"false","Bone","Osteosarcoma","Osteosarcoma","ACH-001094","HTK"
"false","Uterus","Endometrial Carcinoma","Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor","ACH-002046","HTMMT"
"false","Other","Extra Gonadal Germ Cell Tumor","Extra Gonadal Germ Cell Tumor","ACH-002050","HTST"
"false","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-000976","HUCCT1"
"false","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Tubular Stomach Adenocarcinoma","ACH-000239","HUG1N"
"false","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","ACH-000475","HUH1"
"false","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-000808","HUH28"
"false","Liver","Hepatoblastoma","Hepatoblastoma","ACH-000671","HUH6"
"false","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","ACH-000480","HUH7"
"false","Lymphoid","Mature B-Cell Neoplasms","Plasma Cell Myeloma","ACH-000829","HUNS1"
"false","Bone","Osteosarcoma","Osteosarcoma","ACH-002142","HUO3N1"
"false","Bone","Osteosarcoma","Osteosarcoma","ACH-001526","HUO9"
"false","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-000118","HUPT3"
"false","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-000213","HUPT4"
"false","Lymphoid","Mature T and NK Neoplasms","Mycosis Fungoides","ACH-000612","HUT102"
"false","Lymphoid","Mature T and NK Neoplasms","Sezary Syndrome","ACH-000509","HUT78"
"false","Bowel","Small Bowel Cancer","Duodenal Adenocarcinoma","ACH-000538","HUTU80"
"false","Lung","Non-Small Cell Lung Cancer","Large Cell Lung Carcinoma","ACH-000672","IALM"
"false","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001834","ICC10"
"false","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001835","ICC106"
"false","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001836","ICC108"
"false","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001838","ICC12"
"false","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001839","ICC137"
"false","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001841","ICC15"
"false","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001842","ICC2"
"false","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001843","ICC3"
"false","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001844","ICC4"
"false","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001845","ICC5"
"false","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001846","ICC6"
"false","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001847","ICC7"
"false","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001848","ICC8"
"false","Biliary Tract","Intraductal Papillary Neoplasm of the Bile Duct","Intrahepatic Cholangiocarcinoma","ACH-001849","ICC9"
"false","Skin","Melanoma","Melanoma","ACH-000882","IGR1"
"false","Skin","Melanoma","Melanoma","ACH-000650","IGR37"
"false","Skin","Melanoma","Melanoma","ACH-000550","IGR39"
"false","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Endometrioid Ovarian Cancer","ACH-000966","IGROV1"
"false","Thyroid","Well-Differentiated Thyroid Cancer","Papillary Thyroid Cancer","ACH-001528","IHH4"
"false","Myeloid","Non-Cancerous","Immortalized Blood","ACH-002247","IM9"
"false","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Stomach Adenocarcinoma","ACH-000919","IM95"
"false","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-000310","IMR32"
"false","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-002248","IMR5"
"false","Lymphoid","Mature B-Cell Neoplasms","Plasma Cell Myeloma","ACH-000512","INA6"
"false","CNS/Brain","Meningothelial Tumor","Meningioma","ACH-000629","IOMMLEE"
"false","Skin","Melanoma","Cutaneous Melanoma","ACH-000915","IPC298"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Lobular Carcinoma","ACH-002883","IPMBO053"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Lobular Carcinoma","ACH-002884","IPMBO055"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-002885","IPMBO056"
"false","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Esophageal Adenocarcinoma","ACH-002706","IS076A"
"false","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Esophageal Adenocarcinoma","ACH-002705","IS076P"
"false","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000961","ISHIKAWAHERAKLIO02ER"
"false","Skin","Melanoma","Melanoma","ACH-002143","ISTMEL1"
"false","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","ACH-000569","ISTMES1"
"false","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","ACH-000331","ISTMES2"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-002144","ISTSL1"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-002145","ISTSL2"
"false","Bladder/Urinary Tract","Bladder Urothelial Carcinoma","Bladder Urothelial Carcinoma","ACH-000396","J82"
"false","Normal","Non-Cancerous","Matched Normal","ACH-002379","J82EBV"
"false","Uterus","Gestational Trophoblastic Disease","Choriocarcinoma","ACH-001529","JAR"
"false","Uterus","Gestational Trophoblastic Disease","Choriocarcinoma","ACH-001530","JEG3"
"false","Lymphoid","Mature B-Cell Neoplasms","Mantle Cell Lymphoma","ACH-000357","JEKO1"
"false","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Esophageal Adenocarcinoma","ACH-000216","JHESOAD1"
"false","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","ACH-000620","JHH1"
"false","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","ACH-000577","JHH2"
"false","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","ACH-000476","JHH4"
"false","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","ACH-000734","JHH5"
"false","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","ACH-000217","JHH6"
"false","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma","ACH-000848","JHH7"
"false","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Clear Cell Ovarian Cancer","ACH-000324","JHOC5"
"false","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Mucinous Ovarian Cancer","ACH-000237","JHOM1"
"false","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Mucinous Ovarian Cancer","ACH-000333","JHOM2B"
"false","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","ACH-000132","JHOS2"
"false","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Serous Ovarian Cancer","ACH-002146","JHOS3"
"false","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","High-Grade Serous Ovarian Cancer","ACH-000584","JHOS4"
"false","Head and Neck","Head and Neck Squamous Cell Carcinoma","Larynx Squamous Cell Carcinoma","ACH-002249","JHU011"
"false","Head and Neck","Head and Neck Squamous Cell Carcinoma","Larynx Squamous Cell Carcinoma","ACH-002250","JHU022"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-002337","JHU028"
"false","Head and Neck","Head and Neck Squamous Cell Carcinoma","Larynx Squamous Cell Carcinoma","ACH-002251","JHU029"
"false","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000928","JHUEM1"
"false","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000909","JHUEM2"
"false","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000173","JHUEM3"
"false","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000993","JHUEM7"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-000711","JIMT1"
"false","Lymphoid","Mature B-Cell Neoplasms","Burkitt Lymphoma","ACH-002252","JIYOYEP2003"
"false","Lymphoid","Mature B-Cell Neoplasms","Plasma Cell Myeloma","ACH-000653","JJN3"
"false","Myeloid","Myeloproliferative Neoplasms","Chronic Myeloid Leukemia, BCR-ABL1+","ACH-000241","JK1"
